L 07/31/2018 - 17:00:56: [mapfile_clear.smx] except:de_cache
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] except:de_mirage
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] except:de_overpass
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_boacceho_p3.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_boatescape999_v3_1.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_bp-infested-prison_go.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_bunker_escape_v1_1.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_canal_escape_csgo.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_castlevania_p1_5.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_chaos_v1_2.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_chaos_v1_3.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_chaos_v1_4.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] skip:ze_chaos_v1m
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_chaos_v2.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] skip:ze_chaos_v2_1
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] skip:ze_chaos_v2_2
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_cheezylab_beta6.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_chicken_ranch_v1.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_chicken_ranch_v1_2.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_chicken_ranch_v2.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_chicken_ranch_v2_1.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_chrono_trigger_b3.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_colorlicouspilar_fixcsgo.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_colors_p2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_copy_escape_a03_19.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] skip:ze_copy_escape_v1fix
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_crashbandicoot_beta_a.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_crypt_v1_2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_crypt_v1_3.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_crypt_v1_4.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_csgo_grey2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_cursed_ruins_v1_7b.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_cursed_ruins_v2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_cursed_ruins_v3.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_cyberderp_v1_4fix.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_dangerous_waters_in_christmas_day.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_dangerous_waters_v1g_05.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_dangerous_waters_v1h_03_b.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_dangerous_waters_v2_Final.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_dark_streets_beta_3c.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_deadcore_c17.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_deadcore_c18.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_death_star_escape_v4_5.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_death_wish_v2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_death_wish_v5_1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_defensepart_escape.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_doorhug_and_solo_v52329324_d.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_dragonball_snakeway_v2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_dreamin_v1_9_1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] skip:ze_dreamin_v2_1
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_drk_ratrace_v1_p4.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_echo_boatescape_extended.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_elevator_escape_p2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_empirecity_fix.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_escape_the_eye_p2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_escape_the_eye_remix_pm1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_evernight_a2_4c.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_fapescape_p4.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_fapescape_v1_2_pm1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_farmhouse_v5.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_farmhouse_v7.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_farmhouse_v7_lite.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_farmhouse_v8_lite.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_farmhouse_v9_fix.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_farmhouse_v9_lite.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_fat_house_escape_v1_0_2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_ffvii_cosmo_canyon_v5_d03n.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_ffvii_cosmo_canyon_v5fix_b10k.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_ffvii_cosmo_canyon_v5k.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_ffvii_mako_reactor_v5_4fix.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_ffxii_paramina_rift_r.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_ffxii_ridorana_cataract_b3_ps4.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_ffxii_ridorana_cataract_t4_ps1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_ffxii_westersand_v3.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_ffxii_westersand_v7_2_e2_fix3.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_ffxii_westersand_v8zeta1_x15.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_flying_world_v2_pm1a.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_forius_just_run_p.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_games_v2_1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_games_v2b.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_gods_wrath_v3_8b.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_gods_wrath_v3_9.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_grand_boat_escape_day_v4_3_pm1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_grau_a01_0_4.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_grau_a01_10.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_grau_a01_11.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_grau_a01_11f.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_grau_a01_13.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_grau_a01_2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_grau_a01_5.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_grau_a01_8.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_greencity.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_gris_in_beta02.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_gris_v1_11f5.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_gris_v1_11f5_m.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_haunted_lab_escape_p2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_haunted_lab_escape_v2c_e1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_haunted_lab_escape_v2c_e2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_haunted_lab_escape_v2c_e3.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_hell_escape_p.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_hold2_boring_b1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_hold2_boring_b2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_hold2_boring_b3.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_hold2_boring_b4.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_hold_em_v8.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_hsc_a4_q2_1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_ice_hold_csgofix1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_ice_hold_p1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_icecap_escape_v5_p.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_inboxed_final.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_inboxed_final_f2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_indiana_jones_csgo_v1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_indiana_jones_v4a_004_p3.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_infected_lab_v3.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_infected_sewers_v4_e1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_infected_sewers_v4_e2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_inferno_escape_v532.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_inferno_escape_v6b.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_infiltration_final_p2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_italy_town_v3_e1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_italy_town_v3_e2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_johnny_nukem_b8_1_csgo1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_jurassicpark_c1v4_p2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_jurassicpark_csgo_beta3.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_jurassicpark_sg_finale.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] skip:ze_just_began_v3_3_b
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_kh_run_and_defend_z1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_kraznov_poopata_go.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_l0v0l_a7_csgo4.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_lab_V4.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_legoland_crackheads_v2_fix.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_lemonysnickets_v1_e10.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_licciana_escape_p.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_licciana_escape_v3fix.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_lila_panic_escape_v2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_lotr_helms_deep_v5c.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_lotr_minas_tirith_p4.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_lotr_minas_tirith_v3_3_ps39.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_lotr_minas_tirith_v3_3_ps41.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_lotr_mines_of_moria_v6_3.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_magic_ship_fix.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_mario_tower_p_v3.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_minecraft_adventure_v1_2c.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_minecraft_adventure_v1_3.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_minecraft_v1_1fix.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_mirrors_edge_csgo_pf_v1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_mirrors_edge_reborn_v2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_mirrors_edge_v2_go_pf_final.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] skip:ze_misaka_b1_1
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] skip:ze_misaka_b1_2
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] skip:ze_misaka_b2
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] skip:ze_misaka_b2_1
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_mist_q1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] skip:ze_moon_shadow_legend_v2_beat
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_mountain_escape_snow_v5_4.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_namviet_v2final_fix.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] skip:ze_necromanteion_v2_3
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] skip:ze_necromanteion_v2_4
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_neko_canyon_p3.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_nostromo_v1_0b.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_nuke_v1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_nuke_v2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_ocean_base_escape_v4.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_palm_island_nav72_fix2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_paper_escaper_v6_6c2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_paper_escaper_v6_6c295996.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_paradise_sgfix1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_paradise_v1_e1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_paranoid_rezurrection_v11_9_th10.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_parkers_pit_b8_ps4.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_parkour_fix_1_1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_peter_mansion_v1_p3.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_phantasy_escape_4_pm1.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_pipeline_escape_v1_7fix.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_pipeline_escape_v1_7fix2.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_pirates_port_royal_p3.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_pizzatime_v4.bsp
L 07/31/2018 - 17:00:57: [mapfile_clear.smx] Delete maps/ze_pkmn_adventure_v7_5f.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_potc_pf_v4_1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_project_alcaria_v2_4.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_puta_p2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_raccoon_facility_v6b.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_raccoon_facility_v6b_p.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_residentevil2_rpd_v1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_rising_waters_beta.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_rizomata_a30f.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_roof_adventure_v6_6.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_roof_adventure_v6_7.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_rooftop_runaway2_final.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_seano_see_L1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_serpentis_temple_v1_1_csgo1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_sewage_processing_b7.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_sewer_v2.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_sg1_missions_v2_1.bsp
L 07/31/2018 - 17:00:58: [mapfile_clear.smx] Delete maps/ze_sg1_missions_v2_1_p.bsp
